Id,Name,Tax category,Created at,Updated at,Organization,Uuid
2135,Balanced Esthetic Salon & Spa,5,2025-01-29 20:35:32 UTC,2025-01-29 20:35:32 UTC,1,chin_1bb12384-273d-400d-88f9-b8385d5379b0
2134,Sal Pimentao Bar and Restaurant,3,2025-01-29 20:35:15 UTC,2025-01-29 20:35:15 UTC,1,chin_a82ffbe7-49c5-4948-9391-e90ce7eb2146
2133,D'Aquarium,5,2025-01-29 20:34:57 UTC,2025-01-29 20:42:36 UTC,1,chin_980d0a56-b9db-4f27-b1dd-832ad0046b6c
2132,La Marketa Rincón,3,2025-01-28 16:34:36 UTC,2025-01-28 16:34:36 UTC,1,chin_69f857f4-e7ea-4a8c-b67f-98bc08e34ef7
2131,Mega Fresh Farmamarket,5,2025-01-28 16:34:00 UTC,2025-01-28 16:34:00 UTC,1,chin_d90efac3-b420-46fd-8750-15054af12b30
2130,La Tana dell’Orso,3,2025-01-28 16:33:43 UTC,2025-01-28 16:33:43 UTC,1,chin_1dafa39b-0be4-4ad6-8649-c38a80e84d86
2129,Panadería y Repostería Lourdes,3,2025-01-28 16:33:27 UTC,2025-01-28 16:33:27 UTC,1,chin_2565175b-b059-4aa5-856d-1a6df316691b
2128,7 Café,3,2025-01-28 16:33:07 UTC,2025-01-28 16:33:07 UTC,1,chin_d1666715-aa09-42dd-bb91-fd11022574d1
2127,Bohiques Restaurant,3,2025-01-28 16:32:52 UTC,2025-01-28 16:32:52 UTC,1,chin_361b6670-d6b9-4217-a4ed-c7bbb6f091b2
2126,Blue Shark,3,2025-01-28 16:32:36 UTC,2025-01-28 16:32:36 UTC,1,chin_d4d376db-2388-4b1c-bef9-6b2dd73848c2
2125,Cataño WaterSports,5,2025-01-28 16:31:52 UTC,2025-01-28 16:31:52 UTC,1,chin_01ef91bf-189a-42ac-a46c-af451b8da7a0
2124,Casa Colon,7,2025-01-24 22:21:16 UTC,2025-01-24 22:21:16 UTC,2,chin_a98c06f9-19c1-4f03-bb3d-b7d7e3d89536
2123,Kava,7,2025-01-24 22:01:35 UTC,2025-01-24 22:01:35 UTC,2,chin_6c0cce1f-6f86-4f8d-8929-cfb6a584c089
2122,Vitali,7,2025-01-24 20:48:08 UTC,2025-01-24 20:48:08 UTC,2,chin_9f27ca0a-6441-43c8-bad1-1c86935f24d3
2121,Zielo Fusion Cuisine,7,2025-01-24 20:47:55 UTC,2025-01-24 20:47:55 UTC,2,chin_129a3b75-e3ed-42ec-9780-a196c08daa9c
2120,Leto Coffee Brew Bar,7,2025-01-24 20:47:41 UTC,2025-01-24 20:47:41 UTC,2,chin_266ea60b-e2f5-4e70-95e6-062260c268c2
2119,Tequeños,7,2025-01-24 20:47:25 UTC,2025-01-24 20:47:25 UTC,2,chin_9540bb4d-b532-4203-8d03-100fc6763123
2118,Crea'tif Salon and Spa,5,2025-01-23 23:06:54 UTC,2025-01-23 23:06:54 UTC,1,chin_798ba87c-9561-4af2-99a6-faf7bb6e6ee6
2117,JuiceBarPlus+,3,2025-01-23 23:06:34 UTC,2025-01-23 23:06:34 UTC,1,chin_db5ef4e0-5636-4259-a176-7c29a5cdaa17
2116,La Casa del Churrasco,3,2025-01-23 17:02:41 UTC,2025-01-23 17:02:41 UTC,1,chin_c51eac15-9a31-4ef9-a2a1-ad460cc7e030
2115,El Cielo Coffee Shop,3,2025-01-23 16:22:27 UTC,2025-01-23 16:22:27 UTC,1,chin_0e8d59d5-ebb0-47bf-ad1e-a9ab9b0cb4c1
2114,Atlantic Tire,5,2025-01-23 16:22:07 UTC,2025-01-23 16:22:07 UTC,1,chin_94fc999b-b3b6-43ae-83d0-9f899ba20d95
2113,La Esquina de la Repostería,5,2025-01-23 14:51:40 UTC,2025-01-23 14:51:40 UTC,1,chin_8095e311-85d9-4f2f-8d91-4e5e423f4c32
2112,"Cake Dreams Supplies, Inc.",5,2025-01-23 14:51:18 UTC,2025-01-23 14:51:18 UTC,1,chin_307e612e-2008-43d9-aeb5-943652e97b7d
2111,Sweet Bakery Supplies,5,2025-01-23 14:50:54 UTC,2025-01-23 14:50:54 UTC,1,chin_b918eddc-8186-4805-bab1-7e6d45d1cf24
2110,PostQuam Professional,5,2025-01-23 14:50:30 UTC,2025-01-23 14:50:30 UTC,1,chin_85c7c76d-55b0-4f08-9dca-9c5635cf6126
